D,CODE,T,Offense Description,NC General Statute,Offense Start Date,Offense End Date,CL,Class Start Date,Class End Date,DWI and IC Report,Max Date,(0) Offense Ongoing | (1) Offense Ended | (2) Free Text | (3) No Info Provided,
 ,1161,F,FAIL REGISTER SEX OFFENDER(F),14-208.11,19960101,99999999,I,19960101,19980331,No,19980331,1,
 ,1161,F,FAIL REGISTER SEX OFFENDER(F),14-208.11,19960101,99999999,F,19980401,99999999,No,19980401,0,
 ,1162,F,SEX OFFENDER RESIDENCE VIOL,14-208.16(A),20061201,99999999,G,20061201,99999999,No,20061201,0,
 ,1163,F,SEX OFFENDER EMPLOYMENT VIOL,14-208.17(A),20061201,99999999,F,20061201,99999999,No,20061201,0,
 ,1164,F,CHILDCARE IN SEX OFFENDER HOME,14-208.17(B),20061201,99999999,F,20061201,99999999,No,20061201,0,
 ,1165,F,FAIL REPT SEX OFFEN NON-COMPLY,14-208.11A(A),20061201,99999999,H,20061201,99999999,No,20061201,0,
 ,1166,F,FAIL ENROLL SEX OFFEN SBM PROG,14-208.44(A),20061201,99999999,F,20061201,99999999,No,20061201,0,
 ,1167,F,REMOVE/TAMPER SEX OFFEN SBM,14-208.44(B),20061201,99999999,E,20061201,99999999,No,20061201,0,
 ,1168,F,FAIL REPRT NEW ADDRESS-SEX OFF,14-208.11(A)(2),20061201,99999999,F,20061201,99999999,No,20061201,0,
 ,1169,M,FAIL PROVIDE INFO/COMPLY SBM,14-208.44(C),20071201,99999999,1,20071201,99999999,No,20071201,0,
 ,1170,F,INTERFERE ELECT MONITOR DEV(F),14-226.3(B),20091201,99999999,B1/B2/C/D/E/F/G/H/I,20091201,99999999,No,20091201,0,
 ,1171,M,INTERFERE ELECT MONITOR DEV(M),14-226.3(B),20091201,99999999,A1/1/2/3,20091201,99999999,No,20091201,0,
 ,1172,F,SOLICIT ELECT MONITOR DEV(F),14-226.3©,20091201,99999999,B1/B2/C/D/E/F/G/H/I,20091201,99999999,No,20091201,0,
 ,1173,M,SOLICIT ELECT MONITOR DEV(M),14-226.3(C),20091201,99999999,A1/1/2/3,20091201,99999999,No,20091201,0,
 ,1174,F,ATT STAT SEX OFF W/CHILD <= 15,14-27.30(A),20240301,99999999,B2,20240301,99999999,No,20240301,0,
 ,1175,F,ATT STAT SEX OFF W/CHILD <= 15,14-27.30(B),20240301,99999999,D,20240301,99999999,No,20240301,0,
 ,1199,Free Text,SEXUAL ASSAULT - FREE TEXT, ,00000000,99999999,??,19941001,99999999,No,19941001,2,
 ,1202,F,ATT ROBBERY-DANGEROUS WEAPON,14-87,00000000,99999999,D,19941001,99999999,No,19941001,0,
 ,1220,F,COMMON LAW ROBBERY,14-87.1,00000000,99999999,G,19941001,99999999,No,19941001,0,
